"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","6","M5 8OD WASHER","","Copper"
"2","1","V-Slider Fork","","PLA or PETG"
"3","3","V-Slot Big Wheels","V-Slot Big Wheels",""
"4","3","M5x30","","Stainless Steel"
"5","5","M5 WASHER","","Stainless Steel"
"6","3","M5 LOCK NUT","","Stainless Steel"
"7","1","X End Stop Buddy","","PLA or PETG"
"8","2","M3X25","","Stainless Steel"
"9","4","M3x10","","Stainless Steel"
"10","2","M3 NUT","","Stainless Steel"
"11","1","E3d Hotend","",""
"12","1","BL Touch Probe","BL Touch Probe",""
"13","2","M3x14","","Stainless Steel"
"14","3","M3 Lock Nut","","Stainless Steel"
"15","3","M4 WASHER","","Stainless Steel"
"16","1","M4x20","","Stainless Steel"
"17","1","M4 NUT","","Stainless Steel"
"18","1","M4x16","","Stainless Steel"
"19","1","M5 Thumb Screw 2","","PLA or PETG"
"20","1","M5x20 HEX","","Stainless Steel"
"21","1","X-Slide Top","","PLA or PETG"
"22","1","M5 Nut","","Stainless Steel"
