"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","2","M5 WASHER","","Stainless Steel"
"2","1","M5x35","","Stainless Steel"
"3","1","M5 LOCK NUT","","Stainless Steel"
"4","3","M5 8OD WASHER","","Copper"
"5","1","XY Tension Bracket","","PLA or PETG"
"6","1","XY Tension fork","","PLA or PETG"
"7","2","GT2 Pulley 20NT","Smooth Pulley","Aluminum"
"8","1","M5x20 HEX","","Stainless Steel"
"9","4","M4 WASHER","","Stainless Steel"
"10","4","M4x10","","Stainless Steel"
"11","1","M5 Thumb Screw 2","","PLA or PETG"
"12","1","M5 Nut","","Stainless Steel"
