"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","1","Y-Slide Top","","PLA or PETG"
"2","6","M5 WASHER","","Stainless Steel"
"3","3","M5 LOCK NUT","","Stainless Steel"
"4","3","M5x30","","Stainless Steel"
"5","1","V-Slider Fork","","PLA or PETG"
"6","1","M5 Nut","","Stainless Steel"
"7","1","M5x20 HEX","","Stainless Steel"
"8","1","M5 Thumb Screw 2","","PLA or PETG"
"9","3","V-Slot Big Wheels","V-Slot Big Wheels",""
"10","6","M5 8OD WASHER","","Copper"
"11","2","M4 WASHER","","Stainless Steel"
"12","2","M4x10","","Stainless Steel"
"13","1","M5x10","","Stainless Steel"
